"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"0","61.635388827311864","48.74844609646894","0.009765625","0.01904296875","0.00048828125","1560","0.0010156805720817417","0.0010156805720817417","0","0.0010156805720817417","0.0010156805720817417","0_1:0.013457584486313734","0_1:0.007242316631298096","0_1:84","true"
"1","125.04544316548655","94.3967750301601","0.016845703125","0.02685546875","0.0068359375","1560","0.00020704879291858858","0.00020704879291858858","0","0.00020704879291858858","0.00020704879291858858","1_2:0.004554057799759537;1_0:0.013457584486313734","1_2:1;1_0:0.007242316631298096","1_2:84;1_0:84","true"
"2","187.01105033548026","135.50252255806458","0.003173828125","0.00537109375","0.0009765625","1560","0.00023719734157935082","0.00023719734157935082","0","0.00023719734157935082","0.00023719734157935082","2_1:0.004554057799759537;2_3:0.002354406087906047","2_1:1;2_3:0.0034232326014053405","2_1:84;2_3:84","true"
"3","213.06475845668274","179.58367155049356","0.014404296875","0.0263671875","0.00244140625","1560","0.0001255509225689294","0.0001255509225689294","0","0.0001255509225689294","0.0001255509225689294","3_16:0.003952369214112628;3_2:0.002354406087906047;3_4:0.002454133232127176","3_16:0.004371987916220427;3_2:0.0034232326014053405;3_4:0.004109467960271063","3_16:84;3_2:84;3_4:84","true"
"4","199.80668706000642","158.89460913145805","0.006103515625","0.0087890625","0.00341796875","1560","0.0001364254289833654","0.0001364254289833654","0","0.0001364254289833654","0.0001364254289833654","4_3:0.002454133232127176;4_5:0.0032886048613772756","4_3:0.004109467960271063;4_5:0.002420933849203055","4_3:84;4_5:84","true"
"5","226.1638176991389","164.6012142711502","0.03173828125","0.0576171875","0.005859375","1560","0.0006058228962017638","0.0006058228962017638","0","0.0006058228962017638","0.0006058228962017638","5_6:0.003301609436517472;5_4:0.0032886048613772756","5_6:1;5_4:0.002420933849203055","5_6:84;5_4:84","true"
"6","226.56848403081568","104.44865350330689","0.006103515625","0.0078125","0.00439453125","1560","0.00019550029286345623","0.00019550029286345623","0","0.00019550029286345623","0.00019550029286345623","6_5:0.003301609436517472;6_7:0.005065786873658051","6_5:1;6_7:0.0034437349841409115","6_5:84;6_7:84","true"
"7","147.5858878767181","43.645211427650906","0.023681640625","0.0380859375","0.00927734375","1560","0.0003827930042518635","0.0003827930042518635","0","0.0003827930042518635","0.0003827930042518635","7_17:0.006304149227424616;7_6:0.005065786873658051;7_8:0.004339475792573488","7_17:0.006569888978481014;7_6:0.0034437349841409115;7_8:0.005460498666977898","7_17:84;7_6:84;7_8:84","true"
"8","184.5703055872043","41.11903238151237","0.004638671875","0.00732421875","0.001953125","1560","0.00042211213225326415","0.00042211213225326415","0","0.00042211213225326415","0.00042211213225326415","8_9:0.002830107301993956;8_7:0.004339475792573488","8_9:0.0032852658687853864;8_7:0.005460498666977898","8_9:84;8_7:84","true"
"9","196.29217654015832","34.186804264223824","0.014404296875","0.0146484375","0.01416015625","1560","0.0002157040568638947","0.0002157040568638947","0","0.0002157040568638947","0.0002157040568638947","9_8:0.002830107301993956;9_10:0.002759827005889892","9_8:0.0032852658687853864;9_10:1","9_8:84;9_10:84","true"
