"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","442.23968805202753","126.36454518813503","4.831736913338946","-0.30860091520604865","0.009033203125","0.0107421875","0.00732421875","1600","0.0003228626964960576","0","0.0003228626964960576","0.0003228626964960576","0_14:0.007488862082982217","0_14:660","true"
"1","544.1077028853149","92.72177273737218","4.735944997648278","-0.3106735526140353","0.16162109375","0.0859375","0.2373046875","1600","0.00029699003160570006","0","0.00029699003160570006","0.00029699003160570006","1_0:0.008640747389362213","1_0:660","true"
"2","104.23828616776086","95.58933473897264","4.860551813405066","-0.30815586785193605","0.041748046875","0.02587890625","0.0576171875","1600","0.00033117749334602266","0","0.00033117749334602266","0.00033117749334602266","2_1:0.00912935268228543;2_3:0.00795885461852125","2_1:660;2_3:660","true"
"3","367.31663684188663","112.79473055024978","4.680553132725317","-0.3117956042789839","0.02197265625","0.01806640625","0.02587890625","1600","0.00019027201387066995","0","0.00019027201387066995","0.00019027201387066995","3_4:0.010801414987084867","3_4:660","true"
"4","542.9881399096403","297.0960056776281","4.846763684838109","-0.3089581979409952","0.0087890625","0.00341796875","0.01416015625","1600","0.00009622931586875535","0","0.00009622931586875535","0.00009622931586875535","4_5:0.003575910177733621","4_5:660","true"
"5","319.55964661991607","188.28432378257384","4.718029135620768","-0.310577093532681","0.0146484375","0.00390625","0.025390625","1600","0.00016865473861688506","0","0.00016865473861688506","0.00016865473861688506","","","true"
"6","468.72339153171134","278.5372196584453","4.636764922703701","-0.3106205490386331","0.015869140625","0.00927734375","0.0224609375","1600","0.00011318065060782336","0","0.00011318065060782336","0.00011318065060782336","6_5:0.0034331869264166426;6_7:0.004256494775912223","6_5:660;6_7:660","true"
"7","350.66863799269765","72.33916148327472","4.755467016509476","-0.30909078313021016","0.010986328125","0.009765625","0.01220703125","1600","0.00017495397029830645","0","0.00017495397029830645","0.00017495397029830645","7_8:0.011965418090790658","7_8:660","true"
"8","444.6995187535224","40.37156169478025","4.849635196459037","-0.3089940151149966","0.06494140625","0.0654296875","0.064453125","1600","0.00022579169339947858","0","0.00022579169339947858","0.00022579169339947858","8_16:0.010065392616118607","8_16:660","true"
"9","758.2278753120352","36.2146577567608","4.593735384811209","-0.31335701694782153","0.04248046875","0.03173828125","0.05322265625","1600","0.00018095945237015277","0","0.00018095945237015277","0.00018095945237015277","9_8:0.011376117930260166;9_10:0.010968450529490581","9_8:660;9_10:660","true"
"10","272.5787742778834","322.2534435444978","4.723804259216739","-0.31036231695754807","0.042236328125","0.064453125","0.02001953125","1600","0.0005066414711672713","0","0.0005066414711672713","0.0005066414711672713","","","true"
"11","111.86331411029057","54.89234240534276","4.622502173350613","-0.3054330870259268","0.021484375","0.01220703125","0.03076171875","1600","0.00028915078917611704","0","0.00028915078917611704","0.00028915078917611704","11_10:0.018669703631088996","11_10:660","true"
